D,Black powder for small arms,4.1,NA0027,I,4.1,70,None,170,None,Forbidden,Forbidden,E,,,
D,"Jet perforating guns, charged oil well, with detonator",1.1D,NA0124,II,1.1D,"55, 56",None,62,None,Forbidden,Forbidden,7,,,
D,Model rocket motor,1.4C,NA0276,II,1.4C,51,None,62,None,Forbidden,75 kg,6,,,
D,Model rocket motor,1.4S,NA0323,II,1.4S,51,None,62,None,25 kg,100 kg,5,,,
D,Ammonium nitrate-fuel oil mixture containing only prilled ammonium nitrate and fuel oil,1.5D,NA0331,II,1.5D,,None,62,None,Forbidden,Forbidden,10,19E,,
D,Toy Caps,1.4S,NA0337,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
D,"Jet perforating guns, charged oil well, with detonator",1.4D,NA0494,II,1.4D,"55, 56",None,62,None,Forbidden,Forbidden,6,,,
,"Lighters, non-pressurized, containing flammable liquid",3,NA1057,II,3,168,21,None,None,Forbidden,Forbidden,B,40,,
D,"Gasohol gasoline mixed with ethyl alcohol, with not more than 10% alcohol",3,NA1203,II,3,144,150,202,242,5 L,60 L,E,,,
D,Petroleum oil,3,NA1270,I,3,"144, T11, TP1",None,201,243,1 L,30 L,E,,,
D,Petroleum oil,3,NA1270,II,3,"144, IB2, T7, TP1, TP8, TP28",150,202,242,5 L,60 L,B,,,
D,Petroleum oil,3,NA1270,III,3,"144, B1, IB3, T4, TP1, TP29",150,203,242,60 L,220 L,A,,,
D,Fusee (railway or highway),4.1,NA1325,II,4.1,,None,184,None,15 kg,50 kg,B,,,
D,Sulfur,9,NA1350,III,9,"30, IB8, IP2",None,None,240,No limit,No limit,A,"19, 74",,
D,"Charcoal briquettes, shell, screenings, wood, etc.",4.2,NA1361,III,4.2,"IB8, T1, TP33",151,213,240,25 kg,100 kg,A,12,,
D W,Cotton,9,NA1365,,9,"137, IB8, IP2, IP4, W41",None,None,None,No limit,No limit,A,,,
D,Methyldichloroarsine,6.1,NA1556,I,6.1,"2, T20, TP4, TP12, TP13, TP38, TP45",None,192,None,Forbidden,Forbidden,D,40,,
D,"Hydrocyanic acid, aqueous solutions with less than 5 percent hydrogen cyanide",6.1,NA1613,II,6.1,"IB1, T14, TP2, TP13, TP27",None,195,243,Forbidden,5 L,D,40,,
D,"Tear gas devices with more than 2 percent tear gas substances, by mass",6.1,NA1693,I,6.1,,None,340,None,Forbidden,Forbidden,D,40,,
D,"Tear gas devices with more than 2 percent tear gas substances, by mass",6.1,NA1693,II,6.1,,None,340,None,Forbidden,Forbidden,D,40,,
D,"Ferrous chloride, solid",8,NA1759,II,8,"IB8, IP2, IP4, T3, TP33 ",154,212,240,15 kg,50 kg,A,,,
D,Chemical kit,8,NA1760,II,8,,154,161,None,1 L,30 L,B,40,,
D G,"Compounds, cleaning liquid",8,NA1760,II,8,"B2, IB2, N37, T11, TP2, TP27",154,202,242,1 L,30 L,B,40,,
